species	superkingdom	phylum	class	order	family
2263196004	Bacteria	Chloroflexi	Thermomicrobia	Thermomicrobiales	Thermomicrobiaceae
2501004205	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae
2501025502	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae
2501025505	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae
2501533201	Bacteria	Cyanobacteria	NA	Nostocales	Tolypothrichaceae
2501533205	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae
2501651206	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Psychromonadaceae
2501651207	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae
2501651208	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Moritellaceae
2501651209	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae
2501651210	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae
2501846309	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae
2502171155	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae
2502171174	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halococcaceae
2502171179	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae
2502376840	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae
2502422304	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae
2502422305	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae
2502422321	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae
2502545036	Archaea	Thaumarchaeota	NA	Nitrosopumilales	Nitrosopumilaceae
2502790011	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae
2502790017	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae
2502873002	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae
2502894011	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
2502957028	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae
2503044002	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	NA
2503113005	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA
2503242000	Bacteria	Cyanobacteria	NA	Oscillatoriales	Microcoleaceae
2503242005	Bacteria	Chloroflexi	NA	NA	NA
2503242012	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
2503283005	Bacteria	Cyanobacteria	NA	Chroococcales	Aphanothecaceae
2503283009	Bacteria	Cyanobacteria	NA	Chroococcales	Aphanothecaceae
2503283017	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae
2503283018	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	NA
2503283019	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae
2503283023	Bacteria	Cyanobacteria	NA	Chroococcales	Cyanobacteriaceae
2503508007	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae
2503508009	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family IV. Incertae Sedis
2503538017	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae
2503538021	Bacteria	Cyanobacteria	NA	Chroococcidiopsidales	Chroococcidiopsidaceae
2503538027	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae
2503538028	Bacteria	Cyanobacteria	NA	Chroococcales	Aphanothecaceae
2503538029	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae
2503538034	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
2503692000	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae
2503692001	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae
2503707003	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae
2503707007	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae
2503707008	Bacteria	Cyanobacteria	NA	Nostocales	Nostocaceae
2503754015	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae
2503754016	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae
2503754017	Bacteria	Cyanobacteria	NA	Chroococcales	Chroococcaceae
2503754019	Bacteria	Cyanobacteria	NA	Pleurocapsales	Dermocarpellaceae
2503754048	Bacteria	Cyanobacteria	NA	Synechococcales	Leptolyngbyaceae
2503904002	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
2503904014	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae
2503982035	Bacteria	Cyanobacteria	NA	Oscillatoriales	Oscillatoriaceae
2503982037	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae
2503982040	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA
2503982041	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae
2503982047	Bacteria	Cyanobacteria	NA	Nostocales	Nostocaceae
2504136000	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfurellales	Desulfurellaceae
2504136002	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae
2504136012	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae
2504557005	Bacteria	Cyanobacteria	NA	Synechococcales	Pseudanabaenaceae
2504557009	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	NA
2504557010	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	NA
2504557021	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA
2504643002	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae
2504643003	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae
2504643006	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae
2504643007	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae
2504643024	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
2504756006	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermodesulfobiaceae
2504756012	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae
2504756015	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae
2504756022	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae
2504756023	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae
2504756036	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae
2504756040	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Fastidiosibacteraceae
2504756050	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
2504756058	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae
2504756059	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae
2505119042	Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae
2505119043	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae
2505313007	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae
2505313064	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermofilaceae
2505679005	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae
2505679006	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae
2505679007	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
2505679008	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae
2505679009	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae
2505679029	Bacteria	Cyanobacteria	NA	Chroococcidiopsidales	Chroococcidiopsidaceae
2505679030	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae
2505679031	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteraceae
2505679032	Bacteria	Cyanobacteria	NA	Nostocales	Rivulariaceae
2505679052	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae
2505679073	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae
2505679075	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae
2505679082	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
2505679089	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae
2505679099	Bacteria	Cyanobacteria	NA	Oscillatoriales	Microcoleaceae
2505679100	Bacteria	Cyanobacteria	NA	Oscillatoriales	Microcoleaceae
2506210002	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae
2506210005	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVII. Incertae Sedis
2506210012	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae
2506210013	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae
2506210028	Bacteria	Cyanobacteria	NA	Oscillatoriales	Microcoleaceae
2506210034	Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae
2506210035	Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae
2506381002	Bacteria	Cyanobacteria	NA	Oscillatoriales	Microcoleaceae
2506381012	Bacteria	Cyanobacteria	NA	Oscillatoriales	Microcoleaceae
2506381013	Bacteria	Cyanobacteria	NA	Oscillatoriales	Microcoleaceae
2506381022	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae
2506381025	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae
2506485001	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae
2506485002	Bacteria	Cyanobacteria	NA	Nostocales	Nostocaceae
2506485007	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis
2506520000	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
2506520007	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae
2506520012	Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae
2506520014	Bacteria	Cyanobacteria	NA	Spirulinales	Spirulinaceae
2506520015	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVII. Incertae Sedis
2506520016	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae
2506520020	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae
2506520024	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Azonexaceae
2506520025	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae
2506520034	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae
2506520037	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
2506520038	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae
2506520039	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae
2506520044	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae
2506520046	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae
2506520047	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
2506520048	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae
2506520049	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae
2506520053	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae
2506783006	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae
2506783009	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae
2506783016	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
2506783018	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
2506783020	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
2506783021	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
2506783022	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
2506783024	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
2506783025	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
2506783029	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
2506783030	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
2506783032	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
2506783043	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
2506783048	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae
2506783050	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae
2506783059	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae
2506783061	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae
2506783064	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae
2507149014	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae
2507149015	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
2507149019	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae
2507149024	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae
2507262000	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae
2507262001	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
2507262002	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
2507262011	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae
2507262012	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae
2507262013	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae
2507262016	Bacteria	Cyanobacteria	NA	Nostocales	Tolypothrichaceae
2507262019	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
2507262026	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae
2507262029	Bacteria	Cyanobacteria	NA	Oscillatoriales	Microcoleaceae
2507262031	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae
2507262035	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae
2507262052	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae
2507262054	Bacteria	Cyanobacteria	NA	Chroococcales	Aphanothecaceae
2507525000	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae
2508501000	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae
2508501001	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae
2508501002	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae
2508501003	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae
2508501004	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
2508501006	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
2508501007	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae
2508501008	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae
2508501010	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae
2508501011	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae
2508501012	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae
2508501013	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae
2508501014	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae
2508501016	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae
2508501017	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae
2508501018	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae
2508501019	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae
2508501023	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae
2508501033	Bacteria	Cyanobacteria	NA	Chroococcales	Chroococcaceae
2508501034	Bacteria	Cyanobacteria	NA	Pleurocapsales	Xenococcaceae
2508501039	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae
2508501041	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae
2508501044	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae
2508501045	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae
2508501046	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae
2508501047	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae
2508501049	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae
2508501051	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae
2508501068	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae
2508501070	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae
2508501071	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae
2508501075	Bacteria	Cyanobacteria	NA	Oscillatoriales	Microcoleaceae
2508501098	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae
2508501100	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
2508501106	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae
2508501107	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae
2508501108	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae
2508501110	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae
2508501111	Bacteria	Chloroflexi	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae
2508501115	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae
2508501120	Bacteria	Thermotogae	Thermotogae	Petrotogales	Petrotogaceae
2508501124	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae
2508501125	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae
2508501126	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae
2508501127	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae
2508501128	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae
2508501136	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae
2509276010	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
2509276018	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae
2509276020	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae
2509276023	Bacteria	Bacteroidetes	Bacteroidia	Marinilabiliales	Marinilabiliaceae
2509276025	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae
2509276026	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
2509276028	Bacteria	Cyanobacteria	NA	Oscillatoriales	Oscillatoriaceae
2509276029	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae
2509276030	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae
2509276031	Bacteria	Cyanobacteria	NA	Oscillatoriales	Microcoleaceae
2509276036	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae
2509276044	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
2509276045	Bacteria	Cyanobacteria	NA	Synechococcales	Prochlorotrichaceae
2509276052	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
2509276053	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
2509276054	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae
2509276056	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae
2509276057	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae
2509276058	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae
2509276059	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Bernardetiaceae
2509276060	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae
2509276061	Bacteria	Cyanobacteria	NA	Pleurocapsales	Hyellaceae
2509276062	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae
2509276063	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
2509276064	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae
2509276065	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae
2509601004	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Isosphaeraceae
2509601008	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae
2509601017	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae
2509601021	Bacteria	Cyanobacteria	NA	Synechococcales	Leptolyngbyaceae
2509601022	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae
2509601025	Bacteria	Cyanobacteria	NA	Nostocales	Nostocaceae
2509601026	Bacteria	Cyanobacteria	NA	Synechococcales	Prochlorotrichaceae
2509601027	Bacteria	Cyanobacteria	NA	Nostocales	Fortieaceae
2509601028	Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae
2509601029	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVII. Incertae Sedis
2509601032	Bacteria	Cyanobacteria	NA	Nostocales	Nostocaceae
2509601037	Bacteria	Cyanobacteria	NA	Nostocales	Chlorogloeopsidaceae
2509601038	Bacteria	Bacteroidetes	Bacteroidia	Marinilabiliales	Marinilabiliaceae
2509601042	Bacteria	Actinobacteria	Actinobacteria	Jiangellales	Jiangellaceae
2509601046	Bacteria	Cyanobacteria	NA	Chroococcales	Chroococcaceae
2509887024	Bacteria	Cyanobacteria	NA	Nostocales	Rivulariaceae
2509887032	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae
2509887034	Bacteria	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae
2510065009	Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Caldisphaeraceae
2510065016	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae
2510065023	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae
2510065028	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae
2510065032	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae
2510065044	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae
2510065046	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae
2510065051	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae
2510065053	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
2510065055	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
2510065056	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
2510065058	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
2510065062	Bacteria	Actinobacteria	Actinobacteria	Catenulisporales	Actinospicaceae
2510065083	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Patulibacteraceae
2510065084	Bacteria	Actinobacteria	Actinobacteria	Cryptosporangiales	Cryptosporangiaceae
2510065088	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae
2510436000	Bacteria	Cyanobacteria	NA	Synechococcales	Chamaesiphonaceae
2510436001	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae
2510436005	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae
2510461000	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae
2510461018	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae
2510461019	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA
2510461020	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae
2510461022	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae
2510461024	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
2510461030	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
2510461056	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae
2510461066	Bacteria	Chloroflexi	NA	NA	NA
2510461069	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
2510461070	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae
2510917005	Bacteria	Cyanobacteria	NA	Chroococcales	Microcystaceae
2510917010	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVII. Incertae Sedis
2510917013	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae
2510917020	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae
2510917021	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae
2510917022	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
2510917026	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
2510917027	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae
2510917028	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
2510917030	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
2511231000	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
2511231002	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
2511231003	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae
