faprotax_taxa	ncbi_taxa	rank
Algisphaera agarilytica	Algisphaera agarilytica	species
Alicycliphilus denitrificans	Alicycliphilus denitrificans	species
Alicyclobacillus disulfidooxidans	Alicyclobacillus disulfidooxidans	species
Alicyclobacillus herbarius	Alicyclobacillus herbarius	species
Alicyclobacillus sendaiensis	Alicyclobacillus sendaiensis	species
Alicyclobacillus tolerans	Alicyclobacillus tolerans	species
Aliivibrio finisterrensis	Aliivibrio finisterrensis	species
Alistipes indistinctus	Alistipes indistinctus	species
Alistipes onderdonkii	Alistipes onderdonkii	species
Alistipes putredinis	Alistipes putredinis	species
Alistipes shahii	Alistipes shahii	species
Alkalibacillus salilacus	Alkalibacillus salilacus	species
Alkalibacillus silvisoli	Alkalibacillus silvisoli	species
Alkalibacterium gilvum	Alkalibacterium gilvum	species
Alkalibacterium iburiense	Alkalibacterium iburiense	species
Alkalibacterium indicireducens	Alkalibacterium indicireducens	species
Alkalibacterium kapii	Alkalibacterium kapii	species
Alkalibacterium pelagium	Alkalibacterium pelagium	species
Alkalibacterium psychrotolerans	Alkalibacterium psychrotolerans	species
Alkalibacterium putridalgicola	Alkalibacterium putridalgicola	species
Alkalibacterium thalassium	Alkalibacterium thalassium	species
Alkalibaculum bacchi	Alkalibaculum bacchi	species
Alkaliflexus imshenetskii	Alkaliflexus imshenetskii	species
Alkalimarinus sediminis	Alkalimarinus sediminis	species
Alkalitalea saponilacus	Alkalitalea saponilacus	species
Alkanindiges illinoisensis	Alkanindiges illinoisensis	species
Allocatelliglobosispora scoriae	Allocatelliglobosispora scoriae	species
Allochromatium vinosum	Allochromatium vinosum	species
Allochromatium warmingii	Allochromatium warmingii	species
Alloscardovia omnicolens	Alloscardovia omnicolens	species
Alterococcus agarolyticus	Alterococcus agarolyticus	species
Alteromonas infernus	Alteromonas infernus	species
Aminobacterium mobile	Aminobacterium mobile	species
Aminomonas paucivorans	Aminomonas paucivorans	species
Ammonifex degensii	Ammonifex degensii	species
Ammoniphilus oxalaticus	Ammoniphilus oxalaticus	species
Amnibacterium kyonggiense	Amnibacterium kyonggiense	species
Amorphus coralli	Amorphus coralli	species
Amorphus orientalis	Amorphus orientalis	species
Amorphus suaedae	Amorphus suaedae	species
Amphibacillus tropicus	Amphibacillus tropicus	species
Amphibacillus xylanus	Amphibacillus xylanus	species
Amycolatopsis australiensis	Amycolatopsis australiensis	species
Amycolatopsis azurea	Amycolatopsis azurea	species
Amycolatopsis coloradensis	Amycolatopsis coloradensis	species
Amycolatopsis japonica	Amycolatopsis japonica	species
Amycolatopsis lactamdurans	Amycolatopsis lactamdurans	species
Amycolatopsis lurida	Amycolatopsis lurida	species
Amycolatopsis orientalis	Amycolatopsis orientalis	species
Amycolatopsis plumensis	Amycolatopsis plumensis	species
Amycolatopsis regifaucium	Amycolatopsis regifaucium	species
Anabaena azotica	Anabaena azotica	species
Anaerobacillus alkalidiazotrophicus	Anaerobacillus alkalidiazotrophicus	species
Anaerobiospirillum succiniciproducens	Anaerobiospirillum succiniciproducens	species
Anaerococcus octavius	Anaerococcus octavius	species
Anaerococcus tetradius	Anaerococcus tetradius	species
Anaerolinea thermolimosa	Anaerolinea thermolimosa	species
Anaeromyxobacter dehalogenans	Anaeromyxobacter dehalogenans	species
Anaerophaga	Anaerophaga	genus
Anaerotruncus colihominis	Anaerotruncus colihominis	species
Ancalochloris perfilievii	Ancalochloris perfilievii	species
Ancalomicrobium	Ancalomicrobium	genus
Ancylobacter aquaticus	Ancylobacter aquaticus	species
Ancylobacter dichloromethanicus	Ancylobacter dichloromethanicus	species
Ancylobacter polymorphus	Ancylobacter polymorphus	species
Ancylobacter vacuolatus	Ancylobacter vacuolatus	species
Andreprevotia lacus	Andreprevotia lacus	species
Aneurinibacillus aneurinilyticus	Aneurinibacillus aneurinilyticus	species
Aneurinibacillus migulanus	Aneurinibacillus migulanus	species
Angulomicrobium	Angulomicrobium	genus
Angustibacter aerolatus	Angustibacter aerolatus	species
Anoxybacillus amylolyticus	Anoxybacillus amylolyticus	species
Anoxybacillus ayderensis	Anoxybacillus ayderensis	species
Anoxybacillus contaminans	Anoxybacillus contaminans	species
Anoxybacillus flavithermus	Anoxybacillus flavithermus	species
Anoxybacillus kestanbolensis	Anoxybacillus kestanbolensis	species
Anoxybacillus pushchinoensis	Anoxybacillus pushchinoensis	species
Anoxybacillus rupiensis	Anoxybacillus rupiensis	species
Anoxybacillus voinovskiensis	Anoxybacillus voinovskiensis	species
Antricoccus suffuscus	Antricoccus suffuscus	species
Aphanothece halophytica	Aphanothece halophytica	species
Aquabacter spiritensis	Aquabacter spiritensis	species
Aquaspirillum denitrificans	Aquaspirillum denitrificans	species
Aquibacter zeaxanthinifaciens	Aquibacter zeaxanthinifaciens	species
Aquifex aeolicus	Aquifex aeolicus	species
Aquifex pyrophilus	Aquifex pyrophilus	species
Aquincola tertiaricarbonis	Aquincola tertiaricarbonis	species
Aquipuribacter nitratireducens	Aquipuribacter nitratireducens	species
Aquitalea denitrificans	Aquitalea denitrificans	species
Aquitalea magnusonii	Aquitalea magnusonii	species
Archaeoglobus fulgidus	Archaeoglobus fulgidus	species
Archaeoglobus lithotrophicus	Archaeoglobus lithotrophicus	species
Archaeoglobus profundus	Archaeoglobus profundus	species
Archaeoglobus veneficus	Archaeoglobus veneficus	species
Archangium gephyra	Archangium gephyra	species
Arcicella aquatica	Arcicella aquatica	species
Arcicella aurantiaca	Arcicella aurantiaca	species
Arcobacter nitrofigilis	Arcobacter nitrofigilis	species
Arcobacter venerupis	Arcobacter venerupis	species
Arcticibacter svalbardensis	Arcticibacter svalbardensis	species
Ardenticatena maritima	Ardenticatena maritima	species
Arenibacter certesii	Arenibacter certesii	species
Arenibacter latericius	Arenibacter latericius	species
Arenibacter troitsensis	Arenibacter troitsensis	species
Arenicella chitinivorans	Arenicella chitinivorans	species
Arenicella xantha	Arenicella xantha	species
Arenimonas maotaiensis	Arenimonas maotaiensis	species
Arhodomonas aquaeolei	Arhodomonas aquaeolei	species
Arhodomonas recens	Arhodomonas recens	species
Arsenicicoccus bolidensis	Arsenicicoccus bolidensis	species
Arsenicicoccus dermatophilus	Arsenicicoccus dermatophilus	species
Arthrobacter agilis	Arthrobacter agilis	species
Arthrobacter alkaliphilus	Arthrobacter alkaliphilus	species
Arthrobacter alpinus	Arthrobacter alpinus	species
Arthrobacter castelli	Arthrobacter castelli	species
Arthrobacter citreus	Arthrobacter citreus	species
Arthrobacter crystallopoietes	Arthrobacter crystallopoietes	species
Arthrobacter flavus	Arthrobacter flavus	species
Arthrobacter gandavensis	Arthrobacter gandavensis	species
Arthrobacter globiformis	Arthrobacter globiformis	species
Arthrobacter koreensis	Arthrobacter koreensis	species
Arthrobacter luteolus	Arthrobacter luteolus	species
Arthrobacter monumenti	Arthrobacter monumenti	species
Arthrobacter oryzae	Arthrobacter oryzae	species
Arthrobacter parietis	Arthrobacter parietis	species
Arthrobacter psychrochitiniphilus	Arthrobacter psychrochitiniphilus	species
Arthrobacter rhombi	Arthrobacter rhombi	species
Arthrobacter roseus	Arthrobacter roseus	species
Arthrobacter stackebrandtii	Arthrobacter stackebrandtii	species
Arthrobacter subterraneus	Arthrobacter subterraneus	species
Arthrobacter woluwensis	Arthrobacter woluwensis	species
Aspergillus terreus	Aspergillus terreus	species
Asticcacaulis	Asticcacaulis	genus
Aurantimonas coralicida	Aurantimonas coralicida	species
Aurantimonas litoralis	Aurantimonas litoralis	species
Aurantimonas manganoxydans	Aurantimonas manganoxydans	species
Aureimonas ferruginea	Aureimonas ferruginea	species
Aureimonas rubiginis	Aureimonas rubiginis	species
Aureispira marina	Aureispira marina	species
Aureitalea marina	Aureitalea marina	species
Azoarcus communis	Azoarcus communis	species
Azoarcus indigens	Azoarcus indigens	species
Azoarcus olearius	Azoarcus olearius	species
Azoarcus taiwanensis	Azoarcus taiwanensis	species
Azospira	Azospira	genus
Azospira oryzae	Azospira oryzae	species
Azospira oryzae PS	Azospira oryzae PS	species
Azospirillum brasilense	Azospirillum brasilense	species
Azospirillum canadense	Azospirillum canadense	species
Azospirillum doebereinerae	Azospirillum doebereinerae	species
Azospirillum fermentarium	Azospirillum fermentarium	species
Azospirillum halopraeferens	Azospirillum halopraeferens	species
Azospirillum humicireducens	Azospirillum humicireducens	species
Azospirillum largimobile	Azospirillum largimobile	species
Azospirillum lipoferum	Azospirillum lipoferum	species
Azospirillum soli	Azospirillum soli	species
Azotobacter	Azotobacter	genus
Azotobacter beijerinckii	Azotobacter beijerinckii	species
Azotobacter chroococcum	Azotobacter chroococcum	species
Azotobacter vinelandii	Azotobacter vinelandii	species
Bacillales bacterium	Bacillales bacterium	species
Bacillus aerius	Bacillus aerius	species
Bacillus altitudinis	Bacillus altitudinis	species
Bacillus amyloliquefaciens	Bacillus amyloliquefaciens	species
Bacillus anthracis	Bacillus anthracis	species
Bacillus atrophaeus	Bacillus atrophaeus	species
Bacillus benzoevorans	Bacillus benzoevorans	species
Bacillus cereus	Bacillus cereus	species
Bacillus circulans	Bacillus circulans	species
Bacillus cohnii	Bacillus cohnii	species
Bacillus horti	Bacillus horti	species
Bacillus infernus	Bacillus infernus	species
Bacillus licheniformis	Bacillus licheniformis	species
Bacillus methanolicus	Bacillus methanolicus	species
Bacillus mojavensis	Bacillus mojavensis	species
Bacillus oleronius	Bacillus oleronius	species
Bacillus pacificus	Bacillus pacificus	species
Bacillus pseudomycoides	Bacillus pseudomycoides	species
Bacillus pumilus	Bacillus pumilus	species
Bacillus safensis	Bacillus safensis	species
Bacillus siralis	Bacillus siralis	species
Bacillus sonorensis	Bacillus sonorensis	species
Bacillus sp. SG-1	Bacillus sp. SG-1	species
Bacillus sporothermodurans	Bacillus sporothermodurans	species
Bacillus subtilis	Bacillus subtilis	species
Bacillus thuringiensis	Bacillus thuringiensis	species
Bacillus vallismortis	Bacillus vallismortis	species
Bacillus zhanjiangensis	Bacillus zhanjiangensis	species
Bacteriovorax stolpii	Bacteriovorax stolpii	species
Bacteroides caccae	Bacteroides caccae	species
Bacteroides cellulosilyticus	Bacteroides cellulosilyticus	species
Bacteroides eggerthii	Bacteroides eggerthii	species
Bacteroides finegoldii	Bacteroides finegoldii	species
Bacteroides fragilis	Bacteroides fragilis	species
Bacteroides intestinalis	Bacteroides intestinalis	species
Bacteroides ovatus	Bacteroides ovatus	species
Bacteroides stercoris	Bacteroides stercoris	species
Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron	species
Bacteroides uniformis	Bacteroides uniformis	species
Bacteroides xylanisolvens	Bacteroides xylanisolvens	species
Balneola alkaliphila	Balneola alkaliphila	species
Balneola vulgaris	Balneola vulgaris	species
Bauldia consociata	Bauldia consociata	species
Bauldia litoralis	Bauldia litoralis	species
Beggiatoa alba	Beggiatoa alba	species
Beutenbergia cavernae	Beutenbergia cavernae	species
Bhargavaea cecembensis	Bhargavaea cecembensis	species
Bifidobacterium adolescentis	Bifidobacterium adolescentis	species
Bifidobacterium angulatum	Bifidobacterium angulatum	species
Bifidobacterium animalis	Bifidobacterium animalis	species
Bifidobacterium bifidum	Bifidobacterium bifidum	species
Bifidobacterium breve	Bifidobacterium breve	species
Bifidobacterium catenulatum	Bifidobacterium catenulatum	species
Bifidobacterium dentium	Bifidobacterium dentium	species
Bifidobacterium gallicum	Bifidobacterium gallicum	species
Bifidobacterium longum	Bifidobacterium longum	species
Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	species
Bizionia algoritergicola	Bizionia algoritergicola	species
Bizionia myxarmorum	Bizionia myxarmorum	species
Bizionia saleffrena	Bizionia saleffrena	species
Blastocatella fastidiosa	Blastocatella fastidiosa	species
Blastochloris gulmargensis	Blastochloris gulmargensis	species
Blastochloris sulfoviridis	Blastochloris sulfoviridis	species
Blastochloris viridis	Blastochloris viridis	species
Blastococcus aggregatus	Blastococcus aggregatus	species
Blastococcus jejuensis	Blastococcus jejuensis	species
Blastococcus saxobsidens	Blastococcus saxobsidens	species
Blastomonas	Blastomonas	genus
Blastomonas natatoria	Blastomonas natatoria	species
Blautia hansenii	Blautia hansenii	species
Blautia hydrogenotrophica	Blautia hydrogenotrophica	species
Blautia producta	Blautia producta	species
Blautia stercoris	Blautia stercoris	species
Bordetella bronchiseptica	Bordetella bronchiseptica	species
Bordetella parapertussis	Bordetella parapertussis	species
Bordetella pertussis	Bordetella pertussis	species
Borrelia turicatae	Borrelia turicatae	species
Bosea thiooxidans	Bosea thiooxidans	species
Brachybacterium alimentarium	Brachybacterium alimentarium	species
Brachybacterium conglomeratum	Brachybacterium conglomeratum	species
Brachybacterium fresconis	Brachybacterium fresconis	species
Brachybacterium paraconglomeratum	Brachybacterium paraconglomeratum	species
Brachybacterium rhamnosum	Brachybacterium rhamnosum	species
Brachybacterium tyrofermentans	Brachybacterium tyrofermentans	species
Brachybacterium zhongshanense	Brachybacterium zhongshanense	species
Brachymonas chironomi	Brachymonas chironomi	species
Brachymonas denitrificans	Brachymonas denitrificans	species
Brachymonas petroleovorans	Brachymonas petroleovorans	species
Brachyspira pilosicoli	Brachyspira pilosicoli	species
Bradyrhizobium	Bradyrhizobium	genus
Bradyrhizobium denitrificans	Bradyrhizobium denitrificans	species
Bradyrhizobium japonicum	Bradyrhizobium japonicum	species
Bradyrhizobium oligotrophicum	Bradyrhizobium oligotrophicum	species
Brenneria alni	Brenneria alni	species
Brenneria nigrifluens	Brenneria nigrifluens	species
Brenneria roseae	Brenneria roseae	species
Brenneria rubrifaciens	Brenneria rubrifaciens	species
Brenneria salicis	Brenneria salicis	species
Brevibacillus borstelensis	Brevibacillus borstelensis	species
Brevibacillus brevis	Brevibacillus brevis	species
Brevibacillus formosus	Brevibacillus formosus	species
Brevibacillus ginsengisoli	Brevibacillus ginsengisoli	species
Brevibacillus laterosporus	Brevibacillus laterosporus	species
Brevibacillus parabrevis	Brevibacillus parabrevis	species
Brevibacillus thermoruber	Brevibacillus thermoruber	species
Brevibacterium fuscum	Brevibacterium fuscum	species
Brevibacterium iodinum	Brevibacterium iodinum	species
Brevibacterium linens	Brevibacterium linens	species
Brevibacterium marinum	Brevibacterium marinum	species
Brevibacterium paucivorans	Brevibacterium paucivorans	species
Brevibacterium picturae	Brevibacterium picturae	species
Brevundimonas diminuta	Brevundimonas diminuta	species
Brucella inopinata	Brucella inopinata	species
Brucella melitensis	Brucella melitensis	species
Bryobacter aggregatus	Bryobacter aggregatus	species
Bryocella elongata	Bryocella elongata	species
Burkholderia	Burkholderia	genus
Burkholderia ambifaria	Burkholderia ambifaria	species
Burkholderia cenocepacia	Burkholderia cenocepacia	species
Burkholderia cepacia	Burkholderia cepacia	species
Burkholderia gladioli	Burkholderia gladioli	species
Burkholderia glumae	Burkholderia glumae	species
Burkholderia mallei	Burkholderia mallei	species
Burkholderia multivorans	Burkholderia multivorans	species
Burkholderia plantarii	Burkholderia plantarii	species
Burkholderia pseudomallei	Burkholderia pseudomallei	species
Burkholderia stabilis	Burkholderia stabilis	species
Burkholderia vietnamiensis	Burkholderia vietnamiensis	species
Burkholderiales bacterium	Burkholderiales bacterium	species
Butyrivibrio crossotus	Butyrivibrio crossotus	species
Butyrivibrio fibrisolvens	Butyrivibrio fibrisolvens	species
Butyrivibrio proteoclasticus	Butyrivibrio proteoclasticus	species
Byssovorax cruenta	Byssovorax cruenta	species
Caldicellulosiruptor acetigenus	Caldicellulosiruptor acetigenus	species
Caldicellulosiruptor kristjanssonii	Caldicellulosiruptor kristjanssonii	species
Caldicellulosiruptor lactoaceticus	Caldicellulosiruptor lactoaceticus	species
Caldicellulosiruptor obsidiansis	Caldicellulosiruptor obsidiansis	species
Caldicellulosiruptor owensensis	Caldicellulosiruptor owensensis	species
Caldicellulosiruptor saccharolyticus	Caldicellulosiruptor saccharolyticus	species
Caldicoprobacter algeriensis	Caldicoprobacter algeriensis	species
Caldimicrobium rimae	Caldimicrobium rimae	species
Caldimonas manganoxidans	Caldimonas manganoxidans	species
Calditerrivibrio nitroreducens	Calditerrivibrio nitroreducens	species
Caldithrix abyssi	Caldithrix abyssi	species
Caldithrix palaeochoryensis	Caldithrix palaeochoryensis	species
Caldivirga maquilingensis	Caldivirga maquilingensis	species
Caloramator fervidus	Caloramator fervidus	species
Caloramator mitchellensis	Caloramator mitchellensis	species
Caminibacter hydrogeniphilus	Caminibacter hydrogeniphilus	species
Caminibacter mediatlanticus	Caminibacter mediatlanticus	species
Caminibacter profundus	Caminibacter profundus	species
Campylobacter concisus	Campylobacter concisus	species
Campylobacter curvus	Campylobacter curvus	species
Campylobacter fetus	Campylobacter fetus	species
Campylobacter gracilis	Campylobacter gracilis	species
Campylobacter jejuni	Campylobacter jejuni	species
Campylobacter lanienae	Campylobacter lanienae	species
Campylobacter rectus	Campylobacter rectus	species
Campylobacter showae	Campylobacter showae	species
Campylobacter sputorum subsp. bubulus	Campylobacter sputorum subsp. bubulus	species
Campylobacter upsaliensis	Campylobacter upsaliensis	species
Candidatus Anammoximicrobium moscowii	Candidatus Anammoximicrobium moscowii	species
Candidatus Anammoxoglobus	Candidatus Anammoxoglobus	genus
Candidatus Arcobacter sulfidicus	Candidatus Arcobacter sulfidicus	species
Candidatus Brocadia	Candidatus Brocadia	genus
Candidatus Brocadia anammoxidans	Candidatus Brocadia anammoxidans	species
Candidatus Brocadia caroliniensis	Candidatus Brocadia caroliniensis	species
Candidatus Brocadia sinica	Candidatus Brocadia sinica	species
Candidatus Caldarchaeum subterraneum	Candidatus Caldarchaeum subterraneum	species
Candidatus Fritschea	Candidatus Fritschea	genus
Candidatus Jettenia	Candidatus Jettenia	genus
Candidatus Koribacter	Candidatus Koribacter	genus
Candidatus Kuenenia	Candidatus Kuenenia	genus
Candidatus Methanogranum caenicola	Candidatus Methanogranum caenicola	species
Candidatus Methanoperedens nitroreducens	Candidatus Methanoperedens nitroreducens	species
Candidatus Methanoplasma termitum	Candidatus Methanoplasma termitum	species
Candidatus Methylomirabilis oxyfera	Candidatus Methylomirabilis oxyfera	species
Candidatus Nitrosarchaeum limnium	Candidatus Nitrosarchaeum limnium	species
Candidatus Nitrosocaldus	Candidatus Nitrosocaldus	genus
Candidatus Nitrosocaldus yellowstonensis	Candidatus Nitrosocaldus yellowstonensis	species
Candidatus Nitrosopelagicus	Candidatus Nitrosopelagicus	genus
Candidatus Nitrosopelagicus brevis	Candidatus Nitrosopelagicus brevis	species
Candidatus Nitrosopumilus koreensis	Candidatus Nitrosopumilus koreensis	species
Candidatus Nitrosopumilus salaria	Candidatus Nitrosopumilus salaria	species
Candidatus Nitrosopumilus sediminis	Candidatus Nitrosopumilus sediminis	species
Candidatus Nitrososphaera evergladensis	Candidatus Nitrososphaera evergladensis	species
Candidatus Nitrososphaera gargensis	Candidatus Nitrososphaera gargensis	species
Candidatus Nitrosotalea	Candidatus Nitrosotalea	genus
Candidatus Nitrosotalea devanaterra	Candidatus Nitrosotalea devanaterra	species
Candidatus Nitrosotenuis uzonensis	Candidatus Nitrosotenuis uzonensis	species
Candidatus Nitrospira inopinata	Candidatus Nitrospira inopinata	species
Candidatus Nitrospira nitrificans	Candidatus Nitrospira nitrificans	species
Candidatus Nitrospira nitrosa	Candidatus Nitrospira nitrosa	species
Candidatus Nitrotoga	Candidatus Nitrotoga	genus
Candidatus Nitrotoga arctica	Candidatus Nitrotoga arctica	species
Candidatus Pseudothioglobus singularis	Candidatus Pseudothioglobus singularis	species
Candidatus Scalindua	Candidatus Scalindua	genus
Carboxydothermus ferrireducens	Carboxydothermus ferrireducens	species
Carboxydothermus pertinax	Carboxydothermus pertinax	species
Carnobacterium	Carnobacterium	genus
Carnobacterium alterfunditum	Carnobacterium alterfunditum	species
Carnobacterium divergens	Carnobacterium divergens	species
Carnobacterium funditum	Carnobacterium funditum	species
Carnobacterium maltaromaticum	Carnobacterium maltaromaticum	species
Carnobacterium mobile	Carnobacterium mobile	species
Catellatospora bangladeshensis	Catellatospora bangladeshensis	species
Catellatospora chokoriensis	Catellatospora chokoriensis	species
Catellatospora coxensis	Catellatospora coxensis	species
Catellatospora methionotrophica	Catellatospora methionotrophica	species
Catellicoccus marimammalium	Catellicoccus marimammalium	species
Catenococcus thiocycli	Catenococcus thiocycli	species
Catenulispora subtropica	Catenulispora subtropica	species
Catenuloplanes crispus	Catenuloplanes crispus	species
Catenuloplanes japonicus	Catenuloplanes japonicus	species
Caulobacter	Caulobacter	genus
Celeribacter indicus	Celeribacter indicus	species
Celeribacter marinus	Celeribacter marinus	species
Celeribacter neptunius	Celeribacter neptunius	species
Cellulomonas biazotea	Cellulomonas biazotea	species
Cellulomonas bogoriensis	Cellulomonas bogoriensis	species
Cellulomonas cellasea	Cellulomonas cellasea	species
Cellulomonas composti	Cellulomonas composti	species
Cellulomonas fimi	Cellulomonas fimi	species
Cellulomonas flavigena	Cellulomonas flavigena	species
Cellulomonas gelida	Cellulomonas gelida	species
Cellulomonas iranensis	Cellulomonas iranensis	species
Cellulomonas persica	Cellulomonas persica	species
Cellulomonas terrae	Cellulomonas terrae	species
Cellulomonas uda	Cellulomonas uda	species
Cellulomonas xylanilytica	Cellulomonas xylanilytica	species
Cellulophaga algicola	Cellulophaga algicola	species
Cellulophaga fucicola	Cellulophaga fucicola	species
Cellulophaga pacifica	Cellulophaga pacifica	species
Cellulosimicrobium cellulans	Cellulosimicrobium cellulans	species
Cellulosimicrobium funkei	Cellulosimicrobium funkei	species
Cellvibrio diazotrophicus	Cellvibrio diazotrophicus	species
