functional group	relationtype	taxa	taxa_original	taxalevel	reference
nitrate_reduction	taxa	Enterobacteriales Edwardsiella	Enterobacteriales Edwardsiella	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2B
fermentation	taxa	Enterobacteriales Enterobacter	Enterobacteriales Enterobacter	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
fermentation	taxa	Enterobacteriales Enterobacter	Enterobacteriales Enterobacter	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 2
human_gut	taxa	Enterobacteriales Enterobacter	Enterobacteriales Enterobacter	genus	# Wilson (2009) - Bacteriology of Humans: An Ecological Perspective, ISBN: 9781444300383
nitrate_reduction	taxa	Enterobacteriales Enterobacter	Enterobacteriales Enterobacter	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2B
fermentation	taxa	Enterobacteriales Erwinia	Enterobacteriales Erwinia	genus	# Volker Mueller (2001) - Bacterial Fermentation, Encyclopedia of life sciences
fermentation	taxa	Enterobacteriales Escherichia	Enterobacteriales Escherichia	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
human_gut	taxa	Enterobacteriales Escherichia	Enterobacteriales Escherichia	genus	# Wilson (2009) - Bacteriology of Humans: An Ecological Perspective, ISBN: 9781444300383
nitrate_reduction	taxa	Enterobacteriales Ewingella	Enterobacteriales Ewingella	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2B
nitrate_reduction	taxa	Enterobacteriales Hafnia	Enterobacteriales Hafnia	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2B
aerobic_chemoheterotrophy	taxa	Enterobacteriales Klebsiella	Enterobacteriales Klebsiella	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
fermentation	taxa	Enterobacteriales Klebsiella	Enterobacteriales Klebsiella	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
fermentation	taxa	Enterobacteriales Klebsiella	Enterobacteriales Klebsiella	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
nitrate_reduction	taxa	Enterobacteriales Klebsiella	Enterobacteriales Klebsiella	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2B
fermentation	taxa	Enterobacteriales Kluyvera	Enterobacteriales Kluyvera	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
fermentation	taxa	Enterobacteriales Kluyvera	Enterobacteriales Kluyvera	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
nitrate_reduction	taxa	Enterobacteriales Kluyvera	Enterobacteriales Kluyvera	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2B
fermentation	taxa	Enterobacteriales Leclercia	Enterobacteriales Leclercia	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
nitrate_reduction	taxa	Enterobacteriales Leclercia	Enterobacteriales Leclercia	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2B
fermentation	taxa	Enterobacteriales Leminorella	Enterobacteriales Leminorella	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
nitrate_reduction	taxa	Enterobacteriales Leminorella	Enterobacteriales Leminorella	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2B
fermentation	taxa	Enterobacteriales Moellerella	Enterobacteriales Moellerella	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
nitrate_reduction	taxa	Enterobacteriales Moellerella	Enterobacteriales Moellerella	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2B
nitrate_reduction	taxa	Enterobacteriales Morganella	Enterobacteriales Morganella	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2B
ureolysis	taxa	Enterobacteriales Morganella	Enterobacteriales Morganella	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 2
fermentation	taxa	Enterobacteriales Obesumbacterium	Enterobacteriales Obesumbacterium	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
nitrate_reduction	taxa	Enterobacteriales Obesumbacterium	Enterobacteriales Obesumbacterium	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2B
fermentation	taxa	Enterobacteriales Pantoea	Enterobacteriales Pantoea	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
fermentation	taxa	Enterobacteriales Photorhabdus	Enterobacteriales Photorhabdus	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
fermentation	taxa	Enterobacteriales Plesiomonas	Enterobacteriales Plesiomonas	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
nitrate_reduction	taxa	Enterobacteriales Plesiomonas	Enterobacteriales Plesiomonas	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2B
fermentation	taxa	Enterobacteriales Pragia	Enterobacteriales Pragia	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
animal_parasites_or_symbionts	taxa	Enterobacteriales Proteus	Enterobacteriales Proteus	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
fermentation	taxa	Enterobacteriales Providencia	Enterobacteriales Providencia	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
fermentation	taxa	Enterobacteriales Rahnella	Enterobacteriales Rahnella	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
nitrate_reduction	taxa	Enterobacteriales Rahnella	Enterobacteriales Rahnella	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2B
human_pathogens_all	taxa	Enterobacteriales Salmonella	Enterobacteriales Salmonella	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
nitrate_reduction	taxa	Enterobacteriales Salmonella	Enterobacteriales Salmonella	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2B
fermentation	taxa	Enterobacteriales Serratia	Enterobacteriales Serratia	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
nitrate_reduction	taxa	Enterobacteriales Serratia	Enterobacteriales Serratia	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2B
fermentation	taxa	Enterobacteriales Shigella	Enterobacteriales Shigella	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
nitrate_reduction	taxa	Enterobacteriales Shigella	Enterobacteriales Shigella	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2B
fermentation	taxa	Enterobacteriales Tatumella	Enterobacteriales Tatumella	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
nitrate_reduction	taxa	Enterobacteriales Tatumella	Enterobacteriales Tatumella	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2B
fermentation	taxa	Enterobacteriales Trabulsiella	Enterobacteriales Trabulsiella	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
nitrate_reduction	taxa	Enterobacteriales Trabulsiella	Enterobacteriales Trabulsiella	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2B
fermentation	taxa	Enterobacteriales Xenorhabdus	Enterobacteriales Xenorhabdus	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
fermentation	taxa	Enterobacteriales Yersinia	Enterobacteriales Yersinia	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
fermentation	taxa	Enterobacteriales Yokenella	Enterobacteriales Yokenella	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
nitrate_reduction	taxa	Enterobacteriales Yokenella	Enterobacteriales Yokenella	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2B
fermentation	taxa	Enterococcaceae Enterococcus	Enterococcaceae Enterococcus	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
fermentation	taxa	Enterococcaceae Tetragenococcus	Enterococcaceae Tetragenococcus	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
fermentation	taxa	Enterococcus	Enterococcus	genus	# Salminen and von Wright (2004) - Lactic Acid Bacteria: Microbiological and Functional Aspects, ISBN: 9780824752033
fermentation	taxa	Enterococcus	Enterococcus	genus	# Wilson (2009) - Bacteriology of Humans: An Ecological Perspective, ISBN: 9781444300383
fermentation	taxa	Entomoplasmataceae Entomoplasma	Entomoplasmataceae Entomoplasma	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
fermentation	taxa	Entomoplasmataceae Mesoplasma	Entomoplasmataceae Mesoplasma	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
fermentation	taxa	Erysipelotrichaceae Allobaculum	Erysipelotrichaceae Allobaculum	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
fermentation	taxa	Erysipelotrichaceae Bulleidia	Erysipelotrichaceae Bulleidia	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
fermentation	taxa	Erysipelotrichaceae Catenibacterium	Erysipelotrichaceae Catenibacterium	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
fermentation	taxa	Erysipelotrichaceae Holdemania	Erysipelotrichaceae Holdemania	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
fermentation	taxa	Erysipelotrichaceae Solobacterium	Erysipelotrichaceae Solobacterium	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
fermentation	taxa	Erysipelotrichaceae Turicibacter	Erysipelotrichaceae Turicibacter	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
dark_hydrogen_oxidation	taxa	Eubacteriaceae Acetobacterium	Eubacteriaceae Acetobacterium	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
dark_hydrogen_oxidation	taxa	Eubacteriaceae Acetobacterium	Eubacteriaceae Acetobacterium	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
fermentation	taxa	Eubacteriaceae Acetobacterium	Eubacteriaceae Acetobacterium	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
fermentation	taxa	Eubacteriaceae Acetobacterium	Eubacteriaceae Acetobacterium	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
fermentation	taxa	Eubacteriaceae Acetobacterium	Eubacteriaceae Acetobacterium	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
reductive_acetogenesis	taxa	Eubacteriaceae Acetobacterium	Eubacteriaceae Acetobacterium	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
fermentation	taxa	Eubacteriaceae Alkalibacter	Eubacteriaceae Alkalibacter	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
fermentation	taxa	Eubacteriaceae Garciella	Eubacteriaceae Garciella	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
fermentation	taxa	Eubacteriaceae Garciella	Eubacteriaceae Garciella	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
nitrate_ammonification	taxa	Eubacteriaceae Garciella	Eubacteriaceae Garciella	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
thiosulfate_respiration	taxa	Eubacteriaceae Garciella	Eubacteriaceae Garciella	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
fermentation	taxa	Eubacteriaceae Pseudoramibacter	Eubacteriaceae Pseudoramibacter	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
aerobic_chemoheterotrophy	taxa	Euryarchaeota Haloarcula	Euryarchaeota Haloarcula	genus	# Garrity, Brenner, Krieg and Staley (2001) Bergey's Manual of Systematic Bacteriology, vol. 1
nitrate_reduction	taxa	Euryarchaeota Halobaculum	Euryarchaeota Halobaculum	genus	# Garrity, Brenner, Krieg and Staley (2001) Bergey's Manual of Systematic Bacteriology, vol. 1
aerobic_chemoheterotrophy	taxa	Euryarchaeota Halococcus	Euryarchaeota Halococcus	genus	# Garrity, Brenner, Krieg and Staley (2001) Bergey's Manual of Systematic Bacteriology, vol. 1
aerobic_chemoheterotrophy	taxa	Euryarchaeota Haloferax	Euryarchaeota Haloferax	genus	# Garrity, Brenner, Krieg and Staley (2001) Bergey's Manual of Systematic Bacteriology, vol. 1
nitrate_reduction	taxa	Euryarchaeota Haloferax	Euryarchaeota Haloferax	genus	# Garrity, Brenner, Krieg and Staley (2001) Bergey's Manual of Systematic Bacteriology, vol. 1
nitrate_respiration	taxa	Euryarchaeota Halogeometricum	Euryarchaeota Halogeometricum	genus	# Garrity, Brenner, Krieg and Staley (2001) Bergey's Manual of Systematic Bacteriology, vol. 1
nitrate_reduction	taxa	Euryarchaeota Halorubrum	Euryarchaeota Halorubrum	genus	# Garrity, Brenner, Krieg and Staley (2001) Bergey's Manual of Systematic Bacteriology, vol. 1
dark_hydrogen_oxidation	taxa	Euryarchaeota Methanosphaera	Euryarchaeota Methanosphaera	genus	# Garrity, Brenner, Krieg and Staley (2001) Bergey's Manual of Systematic Bacteriology, vol. 1
methanogenesis_by_reduction_of_methyl_compounds_with_H2	taxa	Euryarchaeota Methanosphaera	Euryarchaeota Methanosphaera	genus	# Garrity, Brenner, Krieg and Staley (2001) Bergey's Manual of Systematic Bacteriology, vol. 1
nitrate_reduction	taxa	Euryarchaeota Natronomonas	Euryarchaeota Natronomonas	genus	# Bergey's Manual of Systematics of Archaea and Bacteria (2015). Domain: Archaea
nitrate_reduction	taxa	Euryarchaeota Natronorubrum	Euryarchaeota Natronorubrum	genus	# Garrity, Brenner, Krieg and Staley (2001) Bergey's Manual of Systematic Bacteriology, vol. 1
aerobic_chemoheterotrophy	taxa	Euzebyaceae Euzebya	Euzebyaceae Euzebya	genus	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 5
cellulolysis	taxa	FIbrobacteraceae Fibrobacter	FIbrobacteraceae Fibrobacter	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
fermentation	taxa	Fibrobacteraceae Fibrobacter	Fibrobacteraceae Fibrobacter	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
fermentation	taxa	Fibrobacteraceae Fibrobacter	Fibrobacteraceae Fibrobacter	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
fermentation	taxa	Firmicutes Acetoanaerobium	Firmicutes Acetoanaerobium	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
fermentation	taxa	Firmicutes Acidaminobacter	Firmicutes Acidaminobacter	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
fermentation	taxa	Firmicutes Anaerovorax	Firmicutes Anaerovorax	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
fermentation	taxa	Firmicutes Caldicellulosiruptor	Firmicutes Caldicellulosiruptor	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
thiosulfate_respiration	taxa	Firmicutes Fusibacter	Firmicutes Fusibacter	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
fermentation	taxa	Firmicutes Gemella	Firmicutes Gemella	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
fermentation	taxa	Firmicutes Mahella	Firmicutes Mahella	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
fermentation	taxa	Firmicutes Sedimentibacter	Firmicutes Sedimentibacter	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
fermentation	taxa	Firmicutes Sporanaerobacter	Firmicutes Sporanaerobacter	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
dark_hydrogen_oxidation	taxa	Firmicutes Thermovenabulum	Firmicutes Thermovenabulum	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
fumarate_respiration	taxa	Firmicutes Thermovenabulum	Firmicutes Thermovenabulum	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
iron_respiration	taxa	Firmicutes Thermovenabulum	Firmicutes Thermovenabulum	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
nitrate_reduction	taxa	Firmicutes Thermovenabulum	Firmicutes Thermovenabulum	genus	# Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
aerobic_chemoheterotrophy	taxa	Flammeovirgaceae Flammeovirga	Flammeovirgaceae Flammeovirga	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flammeovirgaceae Flammeovirga	Flammeovirgaceae Flammeovirga	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
nitrate_reduction	taxa	Flammeovirgaceae Flammeovirga	Flammeovirgaceae Flammeovirga	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flammeovirgaceae Flexithrix	Flammeovirgaceae Flexithrix	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flammeovirgaceae Marivirga	Flammeovirgaceae Marivirga	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Actibacter	Flavobacteriales Actibacter	genus	# DOI:10.1099/ijs.0.65346-0
aerobic_chemoheterotrophy	taxa	Flavobacteriales Aequorivita	Flavobacteriales Aequorivita	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
fermentation	taxa	Flavobacteriales Algibacter	Flavobacteriales Algibacter	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
fermentation	taxa	Flavobacteriales Algibacter	Flavobacteriales Algibacter	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Aquimarina	Flavobacteriales Aquimarina	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Arenibacter	Flavobacteriales Arenibacter	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Bizionia	Flavobacteriales Bizionia	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
fermentation	taxa	Flavobacteriales Capnocytophaga	Flavobacteriales Capnocytophaga	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Cellulophaga	Flavobacteriales Cellulophaga	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Chryseobacterium	Flavobacteriales Chryseobacterium	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
fermentation	taxa	Flavobacteriales Cloacibacterium	Flavobacteriales Cloacibacterium	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
fermentation	taxa	Flavobacteriales Cloacibacterium	Flavobacteriales Cloacibacterium	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Dokdonia	Flavobacteriales Dokdonia	genus	# DOI:10.1099/ijs.0.63817-0  and  DOI:10.1099/ijs.0.035253-0
aerobic_chemoheterotrophy	taxa	Flavobacteriales Elizabethkingia	Flavobacteriales Elizabethkingia	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
nitrate_reduction	taxa	Flavobacteriales Epilithonimonas	Flavobacteriales Epilithonimonas	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Flavobacterium	Flavobacteriales Flavobacterium	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Formosa	Flavobacteriales Formosa	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
nitrate_reduction	taxa	Flavobacteriales Gaetbulibacter	Flavobacteriales Gaetbulibacter	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Gillisia	Flavobacteriales Gillisia	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Gramella	Flavobacteriales Gramella	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Kordia	Flavobacteriales Kordia	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
nitrate_reduction	taxa	Flavobacteriales Kordia	Flavobacteriales Kordia	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Leeuwenhoekiella	Flavobacteriales Leeuwenhoekiella	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Lutibacter	Flavobacteriales Lutibacter	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Maribacter	Flavobacteriales Maribacter	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
fermentation	taxa	Flavobacteriales Mariniflexile	Flavobacteriales Mariniflexile	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Mesonia	Flavobacteriales Mesonia	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Muricauda	Flavobacteriales Muricauda	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
fermentation	taxa	Flavobacteriales Muricauda	Flavobacteriales Muricauda	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Myroides	Flavobacteriales Myroides	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Nonlabens	Flavobacteriales Nonlabens	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Olleya	Flavobacteriales Olleya	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Ornithobacterium	Flavobacteriales Ornithobacterium	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Polaribacter	Flavobacteriales Polaribacter	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Psychroflexus	Flavobacteriales Psychroflexus	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Psychroserpens	Flavobacteriales Psychroserpens	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Psychroserpens	Flavobacteriales Psychroserpens	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Riemerella	Flavobacteriales Riemerella	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
aerobic_chemoheterotrophy	taxa	Flavobacteriales Robiginitalea	Flavobacteriales Robiginitalea	genus	# Garrity, Brenner, Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology, vol. 4
